time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2019-02-20T00:00:00Z,0.15,2784.7
2019-02-21T00:00:00Z,0.16,2774.88
2019-02-22T00:00:00Z,0.17,2792.67
2019-02-25T00:00:00Z,0.16,2796.11
2019-02-26T00:00:00Z,0.16,2793.9
2019-02-27T00:00:00Z,0.19,2792.38
2019-02-28T00:00:00Z,0.21,2784.49
2019-03-01T00:00:00Z,0.21,2803.69
2019-03-04T00:00:00Z,0.17,2792.81
2019-03-05T00:00:00Z,0.17,2789.65
2019-03-06T00:00:00Z,0.17,2771.45
2019-03-07T00:00:00Z,0.17,2748.93
2019-03-08T00:00:00Z,0.17,2743.07
2019-03-11T00:00:00Z,0.17,2783.3
2019-03-12T00:00:00Z,0.16,2791.52
2019-03-13T00:00:00Z,0.16,2810.92
2019-03-14T00:00:00Z,0.17,2808.48
2019-03-15T00:00:00Z,0.16,2822.48
2019-03-18T00:00:00Z,0.15,2832.94
2019-03-19T00:00:00Z,0.15,2832.57
2019-03-20T00:00:00Z,0.14,2824.23
2019-03-21T00:00:00Z,0.13,2854.88
2019-03-22T00:00:00Z,0.13,2800.71
2019-03-25T00:00:00Z,0.17,2798.36
2019-03-26T00:00:00Z,0.17,2818.46
2019-03-27T00:00:00Z,0.17,2805.37
2019-03-28T00:00:00Z,0.16,2815.44
2019-03-29T00:00:00Z,0.14,2834.4
2019-04-01T00:00:00Z,0.16,2867.19
2019-04-02T00:00:00Z,0.18,2867.24
2019-04-03T00:00:00Z,0.19,2873.4
2019-04-04T00:00:00Z,0.18,2879.39
2019-04-05T00:00:00Z,0.15,2892.74
2019-04-08T00:00:00Z,0.16,2895.77
2019-04-09T00:00:00Z,0.16,2878.2
2019-04-10T00:00:00Z,0.17,2888.21
2019-04-11T00:00:00Z,0.16,2888.32
2019-04-12T00:00:00Z,0.16,2907.41
2019-04-15T00:00:00Z,0.15,2905.58
2019-04-16T00:00:00Z,0.19,2907.06
2019-04-17T00:00:00Z,0.19,2900.45
2019-04-18T00:00:00Z,0.19,2905.03
2019-04-22T00:00:00Z,0.21,2907.97
2019-04-23T00:00:00Z,0.21,2933.68
2019-04-24T00:00:00Z,0.21,2927.25
2019-04-25T00:00:00Z,0.21,2926.17
2019-04-26T00:00:00Z,0.23,2939.88
2019-04-29T00:00:00Z,0.24,2943.03
2019-04-30T00:00:00Z,0.24,2945.83
2019-05-01T00:00:00Z,0.21,2923.73
2019-05-02T00:00:00Z,0.2,2917.52
2019-05-03T00:00:00Z,0.21,2945.64
2019-05-06T00:00:00Z,0.2,2932.47
2019-05-07T00:00:00Z,0.17,2884.05
2019-05-08T00:00:00Z,0.19,2879.42
2019-05-09T00:00:00Z,0.19,2870.72
2019-05-10T00:00:00Z,0.21,2881.4
2019-05-13T00:00:00Z,0.22,2811.87
2019-05-14T00:00:00Z,0.22,2834.41
2019-05-15T00:00:00Z,0.21,2850.96
2019-05-16T00:00:00Z,0.2,2876.32
2019-05-17T00:00:00Z,0.19,2859.53
